date,description,amount_usd,type,balance_usd
2024-01-01,SUBSCRIPTION SERVICE,1150.58,debit,9089.3
2024-01-05,PAYROLL DEPOSIT,6216.42,credit,8621.16
2024-01-07,GROCERY STORE,1347.22,debit,6989.48
2024-01-14,RENT PAYMENT,2376.32,debit,9623.62
2024-01-15,RESTAURANT,1397.81,debit,8722.78
2024-01-17,GROCERY STORE,1604.49,debit,9303.55
2024-01-22,UTILITY BILL,319.76,debit,9239.49
2024-01-22,ONLINE TRANSFER,367.72,debit,1975.12
2024-01-22,SUBSCRIPTION SERVICE,330.15,debit,8803.69
2024-01-24,SUBSCRIPTION SERVICE,1638.13,debit,11097.73
2024-01-24,RESTAURANT,22.72,debit,7429.2
2024-01-24,GROCERY STORE,1117.61,debit,1453.86
2024-02-03,ONLINE TRANSFER,1951.87,debit,684.89
2024-02-05,PAYROLL DEPOSIT,6261.4,credit,12581.92
2024-02-06,SUBSCRIPTION SERVICE,2463.93,debit,1580.26
2024-02-07,RENT PAYMENT,499.79,debit,8264.06
2024-02-10,INSURANCE PREMIUM,2338.0,debit,8295.34
2024-02-16,INSURANCE PREMIUM,1319.56,debit,3197.08
2024-02-18,INSURANCE PREMIUM,887.67,debit,5085.75
2024-02-19,SUBSCRIPTION SERVICE,557.18,debit,8294.82
2024-02-21,SUBSCRIPTION SERVICE,288.67,debit,4694.79
2024-02-22,ATM WITHDRAWAL,397.8,debit,11265.95
2024-02-25,SUBSCRIPTION SERVICE,1028.66,debit,967.96
2024-02-25,ONLINE TRANSFER,2363.54,debit,11843.76
2024-02-27,GROCERY STORE,885.02,debit,8074.44
2024-03-03,GROCERY STORE,1910.41,debit,4347.61
2024-03-05,PAYROLL DEPOSIT,6461.98,credit,10977.05
2024-03-06,GROCERY STORE,1868.15,debit,1606.1
2024-03-06,RENT PAYMENT,1059.27,debit,853.4
2024-03-08,UTILITY BILL,1004.47,debit,10031.25
2024-03-12,RENT PAYMENT,335.42,debit,1514.8
2024-03-13,GROCERY STORE,353.68,debit,4509.46
2024-03-17,UTILITY BILL,1905.39,debit,3304.59
2024-03-19,GROCERY STORE,1157.46,debit,4661.23
2024-03-22,UTILITY BILL,224.89,debit,11363.87
2024-03-23,SUBSCRIPTION SERVICE,1567.87,debit,11507.66
2024-03-27,ONLINE TRANSFER,1206.04,debit,3297.34
2024-04-04,ONLINE TRANSFER,1703.37,debit,3260.75
2024-04-05,PAYROLL DEPOSIT,6587.53,credit,3925.09
2024-04-08,RESTAURANT,567.23,debit,3823.76
2024-04-09,INSURANCE PREMIUM,621.32,debit,10806.83
2024-04-10,INSURANCE PREMIUM,1069.74,debit,2181.91
2024-04-11,SUBSCRIPTION SERVICE,1433.93,debit,9909.32
2024-04-13,SUBSCRIPTION SERVICE,2276.14,debit,7375.54
2024-04-15,RENT PAYMENT,287.34,debit,7060.23
2024-04-16,INSURANCE PREMIUM,2462.68,debit,4954.39
2024-04-19,RENT PAYMENT,76.91,debit,2888.19
2024-04-21,RESTAURANT,908.23,debit,10785.96
2024-04-21,SUBSCRIPTION SERVICE,1737.83,debit,9898.8
2024-04-25,RENT PAYMENT,789.74,debit,6695.35
2024-05-04,GROCERY STORE,2200.19,debit,8504.85
2024-05-05,PAYROLL DEPOSIT,6386.12,credit,13445.6
2024-05-05,SUBSCRIPTION SERVICE,1681.13,debit,3836.13
2024-05-07,INSURANCE PREMIUM,1978.98,debit,4175.74
2024-05-11,GROCERY STORE,2030.89,debit,8425.87
2024-05-13,GROCERY STORE,1407.51,debit,4386.08
2024-05-14,RENT PAYMENT,71.56,debit,4997.91
2024-05-15,RESTAURANT,2471.11,debit,4183.08
2024-05-17,UTILITY BILL,1013.6,debit,7994.58
2024-05-22,RESTAURANT,2063.28,debit,6198.33
2024-05-27,GROCERY STORE,234.17,debit,8165.21
2024-06-05,PAYROLL DEPOSIT,6488.76,credit,10176.37
2024-06-07,GROCERY STORE,161.02,debit,933.74
2024-06-09,RESTAURANT,853.09,debit,11446.15
2024-06-14,RESTAURANT,2033.32,debit,1528.21
2024-06-14,GROCERY STORE,1325.28,debit,7344.67
2024-06-17,ONLINE TRANSFER,2136.95,debit,6614.49
2024-06-18,INSURANCE PREMIUM,1503.72,debit,9270.21
2024-06-19,RENT PAYMENT,1569.98,debit,1081.58
2024-06-19,UTILITY BILL,1823.25,debit,9809.74
2024-06-20,RESTAURANT,183.6,debit,5598.72
2024-06-22,GROCERY STORE,450.26,debit,7902.52
2024-06-26,UTILITY BILL,851.06,debit,10628.98
2024-07-01,RESTAURANT,1692.37,debit,9029.34
2024-07-03,ONLINE TRANSFER,1927.38,debit,10238.25
2024-07-03,RESTAURANT,1519.56,debit,7615.44
2024-07-05,PAYROLL DEPOSIT,6697.27,credit,1691.17
2024-07-07,UTILITY BILL,368.02,debit,2076.71
2024-07-09,RENT PAYMENT,1343.8,debit,7891.02
2024-07-10,ONLINE TRANSFER,1953.93,debit,10782.49
2024-07-11,UTILITY BILL,110.11,debit,4511.79
2024-07-12,ATM WITHDRAWAL,2280.17,debit,3033.31
2024-07-17,GROCERY STORE,2157.8,debit,5475.48
2024-07-19,UTILITY BILL,621.25,debit,5301.07
2024-07-26,INSURANCE PREMIUM,1309.38,debit,4511.09
2024-07-27,RESTAURANT,1590.73,debit,5297.33
2024-08-05,PAYROLL DEPOSIT,6403.35,credit,2953.11
2024-08-06,SUBSCRIPTION SERVICE,1207.22,debit,10501.93
2024-08-07,ATM WITHDRAWAL,80.95,debit,8880.16
2024-08-09,RESTAURANT,1034.73,debit,3216.16
2024-08-10,ONLINE TRANSFER,367.03,debit,5355.19
2024-08-12,ATM WITHDRAWAL,1626.14,debit,9210.88
2024-08-14,RENT PAYMENT,1652.34,debit,6740.97
2024-08-18,SUBSCRIPTION SERVICE,1731.4,debit,1630.38
2024-08-20,RESTAURANT,1196.44,debit,5194.21
2024-08-27,UTILITY BILL,1025.73,debit,6086.95
2024-09-03,SUBSCRIPTION SERVICE,2312.31,debit,2476.82
2024-09-04,RESTAURANT,2024.89,debit,7004.41
2024-09-05,PAYROLL DEPOSIT,6472.87,credit,11863.12
2024-09-08,GROCERY STORE,1170.22,debit,7178.97
2024-09-09,RENT PAYMENT,1384.74,debit,7869.47
2024-09-15,SUBSCRIPTION SERVICE,1616.08,debit,1484.69
2024-09-18,INSURANCE PREMIUM,2473.99,debit,4235.94
2024-09-24,SUBSCRIPTION SERVICE,1296.51,debit,8447.99
2024-09-26,GROCERY STORE,1433.29,debit,8409.55
2024-09-27,UTILITY BILL,356.24,debit,4426.08
2024-09-27,RENT PAYMENT,476.51,debit,5470.94
2024-10-01,UTILITY BILL,1345.27,debit,5576.11
2024-10-01,RENT PAYMENT,1483.77,debit,11413.56
2024-10-04,ATM WITHDRAWAL,2436.84,debit,10113.38
2024-10-05,PAYROLL DEPOSIT,6525.27,credit,7507.94
2024-10-05,ATM WITHDRAWAL,1939.19,debit,550.17
2024-10-08,INSURANCE PREMIUM,755.04,debit,6814.01
2024-10-09,RESTAURANT,1437.71,debit,11464.07
2024-10-14,RESTAURANT,2282.09,debit,4747.61
2024-10-14,UTILITY BILL,2106.95,debit,4046.25
2024-10-15,INSURANCE PREMIUM,117.66,debit,10539.93
2024-10-17,ATM WITHDRAWAL,2171.16,debit,4535.57
2024-10-18,ONLINE TRANSFER,329.5,debit,5569.39
2024-10-18,INSURANCE PREMIUM,837.56,debit,6841.51
2024-10-20,RENT PAYMENT,669.49,debit,7335.21
2024-10-24,GROCERY STORE,806.38,debit,11129.19
2024-11-02,GROCERY STORE,1573.62,debit,7889.45
2024-11-02,GROCERY STORE,973.42,debit,10694.01
2024-11-02,ATM WITHDRAWAL,390.1,debit,2583.32
2024-11-03,ONLINE TRANSFER,1968.03,debit,10904.03
2024-11-05,PAYROLL DEPOSIT,6631.21,credit,8319.94
2024-11-06,RESTAURANT,2130.44,debit,5192.85
2024-11-07,RESTAURANT,2055.68,debit,7790.86
2024-11-12,RENT PAYMENT,1482.33,debit,707.21
